job_skills,count
"Registered Nurse, Surgical, Travel Nursing, Pay, Insurance Coverage, Private Housing, Utilities, Travel Reimbursement, Licensing Reimbursement, Certification Reimbursement",5
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Lifting heavy objects, Teamwork, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",5
Healthcare staffing,5
"Physician, Obstetrics, Gynecology, Healthcare, Medical",5
"Diploma in Early Childhood, Early Years Learning Framework, National Quality Standards, Working with Children Check",5
"Cath Lab Technologist, Cardiac Cath Lab (CCL)",5
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge, Decision Making, Problem Solving, Communication, Teamwork",5
"Retail or Hospitality leadership, Passion for exceeding guest expectations, High level of energy and sense of urgency, Integrity and excellent communication skills, Exceptional organizational & time management skills, Strong verbal & written communication skills, Proven ability to adapt and learn quickly, National Police check",5
"Meat searing, Meat seasoning, Meat cooking, Sanitation guidelines, Teamwork, Flexible work schedules, Discounts, Friendly competitions, Recognition, Formal training, Career growth opportunities, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical dental and vision plans, Shortterm disability, Life accidental and critical illness insurance, Identity theft protection, Employee assistance program, Employee food and corporate discounts, Opportunity for advancement",5
"Communication skills, Motivating attitude, Technical skills, Flexible, Organized, Goaldriven, Hair cutting license, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",5
"BLS, Color Vision Mandatory Exam, Core Mandatory Part I, Core Mandatory Part II (Nursing), Core Mandatory Part III, ED RN A, Preventing Medication Errors, RN Pharmacology, RN State License",5
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Lifting, Bending, Transporting, Teamwork, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",5
"Volunteer opportunity, VolunteerMatch, LinkedIn for Good",5
"Retail or Hospitality leadership, Passion for exceeding guest expectations, High level of energy and sense of urgency, Integrity and excellent communication skills, Exceptional organisational & time management skills, Strong verbal & written communication skills, Proven ability to adapt and learn quickly, National Police check",5
"MBBS, AHPRA registration, FRACGP, Medical Indemnity Insurance",5
"Retail experience, Management experience, Merchandising, Inventory control, Company policies and procedures, Physical demands, Standing, Walking, Climbing ladders, Lifting",5
"Retail experience, Leadership, Communication skills",5
"LPN License, BLS/CPR Certification",5
PERA Retirement,5
Pediatrics,5
"MBBS, AHPRA registration, FRACGP, Team player",5
"Physician, Gastroenterology, Healthcare",5
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance and Cleanliness, Crew Management, Quality Food Production, Exceptional Customer Service, Safety and Security, Scheduling, Training",5
"Communication skills, Motivation, Technical skills, Flexibility, Organization, Goal orientation, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",5
"Communication, Collaboration, Solution Oriented, People Centric, Relevant, Initiative, Deliver, Evolve",5
"Customer service, Cash register operation, Merchandising, Cleaning, Planogram implementation, Store management, Communication, Safety, Planogram reading, Mathematical calculations, Cash handling, Driving, High school diploma, Supervisory experience, Walking, Standing, Bending, Stooping, Kneeling, Lifting, Climbing, Fastpaced environment, Noise, Weather exposure, Driving",5
"Leadership, Training, Coaching, Development, Customer service, Merchandising, Product knowledge, Operational knowledge, Store management, Operations management",5
Athletic Coaching,5
"Meat searing, Meat seasoning, Meat cooking, Sanitation guidelines, Equipment understanding, Teamwork, Flexible work schedules, Discounts, Friendly competitions, Recognition, Formal training, Career growth opportunities, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical dental and vision plans, Shortterm disability, Life accidental and critical illness insurance, Identity theft protection, Employee assistance program, Employee food and corporate discounts, Opportunity for advancement",5
"Customer service, Cash register operation, Merchandising, Cleaning, Planogram implementation, Store management, Communication, Safety, Mathematical calculations, Cash handling, Vehicle driving, High school diploma, Supervisory experience",5
Health Advocates Network,5
"Leadership, Food Safety, Internal Communication, Inventory Management, Daily Maintenance and Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety and Security, Scheduling, Training",5
"Nursing, Healthcare",5
"Medicine, Doctor of Medicine, Doctor of Osteopathic Medicine, Residency, Board Certified, Board Eligible, Medical Staff Privileges, South Carolina Medical License, South Carolina Controlled Substance License, Drug Enforcement Agency Number, Basic Computer Skills, Office Equipment Knowledge, Mathematical Skills, Specialty Specific Skills",5
"Retail management, Hardlines or variety merchandise, BIG BOX experience, Productivity management, Freight processing, Communication, Interpersonal skills, Written skills, Team environment, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",5
"CT Technologist, Radiology Tech, Allied Health Professional",5
The context does not mention anything about technical skills frameworks languages softwares concepts or requirements so I cannot extract the requested data from the provided context.,5
"Registered Nurse, EmergencyER, BLS, ACLS, PALS, TNCC, NIH, TravelContract Nursing",5
Manager,5
"Communication skills, Customer service, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel",5
"Nursing, UK Registered Nurse",5
"Supervisory Experience, High School Education, Desire to Learn, Valid Driver's License",5
"Salary negotiation, Contract negotiation, Interview coordination, License assistance, Career preference matching, Support team",5
"Customer service, Communication, Teamwork, Problemsolving, Sales, Cashiering, Retail experience, High school diploma",5
"Registered Nurse, Certified Registered Nurse Anesthetists",5
"Physician, Urology, Healthcare, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Information, Confidentiality, Career Matching",5
"Restaurant operations management, Staff management, Hospitality, Guest satisfaction",4
"Physician, Hematology, Oncology",4
"Customer service, Communication, Teamwork, Problemsolving, Retail experience, Cashiering experience, High school diploma",4
"Physician, Obstetrics, Gynecology, Healthcare, Physician Assistant, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Professional Information, Confidentiality, Career Matching Support",4
"Customer service, Retail, Cashiering, Sales, Communication, Teamwork, Problem solving, High school diploma",4
"Meat searing, Meat seasoning, Meat cooking, Sanitation guidelines, Equipment understanding, Prep Sheets, Teamwork, Flexible work schedules, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical dental and vision plans, Shortterm disability, Life accidental and critical illness insurance, Identity theft protection, Employee assistance program, Employee food and corporate discounts, Opportunity for advancement",4
"Customer service, Guest seating, Greeting, Reception, Reservation duties",4
Cook,4
EEO guidelines,4
"Guest seating, Greeting, Reception, Reservations, Customer service, Tipped role, Base pay, Tips",4
"Music teaching, Criminal background check, VolunteerMatch, LinkedIn for Good",4
"Meat searing, Meat seasoning, Meat cooking, Sanitation guidelines, Equipment understanding, Prep Sheets, Teamwork, Flexible work schedules, Discounts, Friendly competitions, Recognition, Formal training, Career growth opportunities, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical plans, Dental plans, Vision plans, Shortterm disability, Life insurance, Accidental insurance, Critical illness insurance, Identity theft protection, Employee assistance program, Employee food discounts, Corporate discounts, Opportunity for advancement, Equal opportunity employer",4
"Retail experience, Management experience, Customer service, Sales, Profitability, Staff development, Expense control, Shrinkage control, Merchandising, Inventory control, Company policies and procedures, Physical demands, Standing, Walking, Climbing ladders, Lifting",4
"Nursing, Caregiving, NMC PIN, Registered Nurse, Senior Nurse, Clinical Lead, Home Manager",4
Leadership,4
"Registered Nurse (RN), Medical/Surgical (M/S)",4
"Medical, Dental, Life, Long Term/Short Term, Malpractice, 401k",4
"Radiologic Technology, CT Scanning, BLS, Computerized Tomography (CT) Imaging Certification, CT National Registration, ARRT Registry, Diagnostic Procedures, Clinical Diagnostic Images",4
"Nursing, Case Management, Medical/Dental/Vision, 401(k), Sick Leave, Weekly Payroll",4
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge, Store Management, Operations Team",4
"Retail Experience, Management Experience, Communication Skills, Interpersonal Skills, Written Skills, Ability to Lift Heavy Objects, Ability to Work in a Team Environment, Health and Welfare Programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",4
"Customer service, Ladder climbing, Heavy lifting, Valid driver's license, Travel",4
"Customer service, Communication, Teamwork, Problemsolving, Quick thinking, Customer service experience, Motivation, Willingness to learn",4
Flexible Working,4
"Customer service, Leadership, Inventory management, Communication, Math skills, Retail, Merchandising, Finance",4
"Physician, Obstetrics & Gynecology",4
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge, Front End, Freight, Receiving, Associate Support, Special Services, Merchandising Execution",4
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance, Cleanliness, Crew Management, Quality Food Production, Exceptional Customer Service, Safety, Security, Scheduling, Training, Leadership",4
"Retail, Management, Communication, Interpersonal skills, Written skills, Lifting, Bending, Transporting merchandise, Teamwork, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",4
"Retail management, Hardlines or variety merchandise, Freight processing, Communication, Interpersonal skills, Written skills, Team environment, Medical, Pharmacy, Dental, Vision, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",4
"Customer Service, Supervisory Experience, Team Environment, Training, Decision Making, Goal Achievement, Computer Proficiency, Flexible Schedule",4
"Certified Surgical Technologist, Allied Health Professional, Medical benefits, Vision benefits, Dental benefits, 401k retirement plan, Weekly pay, Referral bonus",4
"Caregiving, Personal care, Companionship, Activities of Daily Living (ADLs)",4
"Retail or Hospitality leadership experience, Passion for exceeding guest expectations, High level of energy and sense of urgency, Integrity and excellent communication skills, Exceptional organizational & time management skills, Strong verbal & written communication skills, Proven ability to adapt and learn quickly, National Police check",4
"Pet grooming, Salon management, Leadership, Customer service, Interpersonal skills, Organizational skills, Time management, Grooming techniques, Breed standards, Pet care products, Computer systems, Salon management software, Flexibility",4
School Counseling,4
"Healthcare staffing, Customer service, Travel contracts, Per Diem",4
"Retail, Management, Communication, Interpersonal skills, Written skills, Lifting, Bending, Transporting, Teamwork, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",4
"Communication, Collaboration, Solution Oriented, People Centric, Initiative, Deliver, Evolve",4
"Retail operations, Customer service, Calculator, Computer, Teamwork, Communication, Flexible schedule, Background check, Medical plan, Dental plan, Vision plan, 401(k), Flexible spending accounts, Adoption assistance, Tuition reimbursement",4
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Ability to lift heavy objects, Team environment, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",4
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Ability to lift 50lbs, Ability to work in a team, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",4
"Customer service, Food handling, Bartender, Server, Cashier, Stocker, Demonstrator, Brand ambassador, Brand advocate, Food safety, Sales, Appliance usage, Standing, Online training, Onthejob training, Retail grocery warehouse environment, Cold refrigerated conditions, Food products, Cleaning chemicals",4
"Leadership, Training, Coaching, Development, Customer service, Merchandising, Operations, Product knowledge, Building Materials, Decor, Electrical, Flooring, Gardening, Hardware, Kitchen & Bath, Lumber, Millwork, Paint, Plumbing, Pro Account Sales, Tool Rental, Front End, Freight, Receiving, Associate Support, Special Services, Merchandising Execution",4
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance, Crew Management, Quality Food Production, Customer Service, Safety, Security, Scheduling, Training, Leadership",4
"Communication skills, Positive attitude, Technical skills, Flexibility, Organizational abilities, Goaloriented, Cosmetology license, Barber license",4
"Registered Nurse, Basic Life Support, Cardiopulmonary Resuscitation, Nursing",4
"Registered Nurse, Surgical",4
"Ultrasound Technologist, Allied Health Professional, Sonography, Echo, Radiology",4
"Nursing, Patient care, Medical advancements, Communication, Attention to detail, NMC registration, UK healthcare experience, Right to work in the UK, UK references",4
"HCPC, Car driving, NHS experience, 1 year experience",4
FastPaced Experience,4
"Python, Bash scripting, Data manipulation, Test scripting, Linux environments, CI/CD Orchestration",4
"Physician, Internal Medicine, Healthcare, Job Search, Email Alerts, Profile Page, CV, Credentials, Medical Professional Information, Confidentiality, Career Matching Support",4
"Physician, Family Practice, OB",4
"Teamwork, Positive attitude, Adaptability, Willingness to learn, Maintaining a healthy and safe environment",4
"Restaurant Management, Hospitality, Customer Service, Food Service",4
"MD or DO degree, Board Certified or Board Eligible in Pediatric Hospital Medicine, Valid state medical license, Excellent communication and interpersonal skills, Ability to work independently and as part of a team, Strong problemsolving and criticalthinking skills, Commitment to providing highquality patient care",4
"Physician, PsychiatricMental Health, Healthcare, Physician Assistant, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Professional Information, Confidentiality, Career Matching Support",4
"LPN License, BLS/CPR",4
"Meat searing, Meat seasoning, Meat cooking, Sanitation guidelines, Equipment understanding, Prep Sheets, Teamwork, Flexible work schedules, Discounts, Friendly competitions, Recognition, Formal training, Career growth opportunities, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical dental and vision plans, Shortterm disability, Life accidental and critical illness insurance, Identity theft protection, Employee assistance program, Employee food and corporate discounts, Opportunity for advancement",4
Restaurant Management,4
"Registered Nurse, Licensed Practical Nurse, Licensed Vocational Nurse, Surgical Technician, Speech Language Pathologist, Speech Language Pathology Assistant, Physical Therapist, Physical Therapy Assistant, Occupational Therapist, Certified Occupational Therapy Assistant, Psychologist, Board Certified Behavior Analyst, Licensed Marriage and Family Therapist",4
"Customer service, Leadership, Communication, Teamwork, Planning, Inventory management, Math skills",4
"Compassionate care, Exceptional service",4
Apply,4
EVerify program,4
"Cover Letter, Resume",4
"Caregiving, Personal Care, Companionship, Activities of Daily Living (ADLs)",4
"Leadership, Training, Coaching, Development, Customer service, Merchandising, Product knowledge, Operational knowledge, Problemsolving, Decisionmaking, Communication, Teamwork",4
"Teamwork, Positive attitude, Adaptability, Willingness to learn, Passion for health and safety",4
"data representation, data analysis, SQL, data analytics, analytics, python, data mining, data science, r, tableau, analytical skills, data visualization, databases, business analysis, business intelligence (bi), microsoft sql server, machine learning, statistics, microsoft power bi, java",4
"Physician, Internal Medicine, Healthcare, Job Search, Professional Profile, Confidentiality, Career Matching Support",4
"Cosmetology license, Barber license, Communication skills, Motivation, Technical skills, Flexibility, Organization, Goaloriented, Hair cutting license",4
MS Teacher,4
TPGs Host,4
"Product Management, Software Development, Hardware Engineering, Remote Work, Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ",4
"Case Management, Patient Care, Treatment Planning, Care Coordination, Clinical Outcomes, Patient Satisfaction, CostEffectiveness, Nursing, RN, LPN",4
"Insurance, Health Insurance, Sales, Leads, Quoting Tools, Training Resources",4
"Nursing, BLS  Basic Life Support, CPR  Cardiopulmonary Resuscitation, RN  Registered Nurse",4
Oklahoma Certification,4
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, Food Handlers Certification, High school diploma/GED or equivalent work experience, 1+ years of restaurant leadership experience",4
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Operational Knowledge",4
"Meat searing, Meat seasoning, Meat cooking, Sanitation guidelines, Equipment knowledge, Prep Sheets, Teamwork, Flexible work schedules, Discounts, Friendly competitions, Recognition, Formal training, Career growth opportunities, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical dental and vision plans, Shortterm disability, Life accidental and critical illness insurance, Identity theft protection, Employee assistance program, Employee food and corporate discounts, Opportunity for advancement",4
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance and Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety and Security, Scheduling, Training, Leadership experience, Team player, Flexible schedule, Passion for fastpaced environment",4
Radiology,4
"Windows Server, Active Directory, SQL Server, Office 365, Azure, Citrix, Splunk, Exchange, Windows Containers, HyperV, Automation tools, Scripting, Programming, Troubleshooting, Customer service, SentryOne, Prometheus, Monitoring systems",4
"Customer service, Communication, Problemsolving, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel, Aptitude to build rapport, Ability to work in all weather conditions",4
"Physician, Pediatrics, Healthcare, Job Search, Email Alerts, Professional Profile, CV, Credentials, Confidentiality, Career Matching Support",4
"Accounting, Human Resources, Training, Marketing, Sales Building, Cost Controls, Basic Computer Skills, Inventory Management, Bank Deposits, Performance Appraisals, Safe Work Environment",4
"Mental Health Nursing, Registered Mental Health Nurse, NMC Registration",4
"Communication skills, Motivating attitude, Technical skills, Flexibility, Organization, Goaldriven, Hair cutting license, Cosmetology license, Barber license, Management training, Incentives, Recognition, Customer base, Ongoing training",4
"Communication skills, Teamwork, Adaptability, Positive attitude, Passion for maintaining a healthy and safe environment",4
"Supervisory experience, High school education, Desire to learn, Driver's License",4
"Restaurant Management, Operations Execution, Staff Management, Hospitality, Guest Satisfaction",4
"Assistant Principal, Dean, Principal, Head of School, Special Education Case Manager, Special Education Program Administration",4
"Customer service, Food handling, Bartender, Server, Cashier, Stocker, Demonstrator, Brand ambassador, Brand advocate, Food safety, Sales, Appliances, Microwave, Toaster oven, Hot plate, Retail grocery warehouse environment, Cold, Refrigerated conditions, Food products, Cleaning chemicals",4
No technical skills frameworks languages softwares concepts or requirements were found in the context.,4
"Theology, Religious Studies, Roman Catholic Doctrine, Youth Protection Training",4
"Communication skills, Motivation, Technical skills, Flexibility, Organization, Goal orientation, Hair cutting license, Cosmetology license, Barber license, Salon management training, Incentives, Recognition, Customer base, Career growth training",4
"Physician, Family Practice, Healthcare, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Information, Confidentiality, Career Matching, Preferences",4
"Childrens/Paediatric Nurse, RGN qualified/NMC registered, Previous UK nursing experience, Paediatric/Children/School Nursing experience",4
"Communication skills, Motivation, Technical skills, Flexibility, Organization, Goal achievement, Cosmetology license, Barber license, Management training, Incentives, Recognition, Customer base, Ongoing training",4
"Nurse, NMC PIN, Registered Nurse, Senior Nurse, Clinical Lead, Home Manager",4
"Radiology Technologist, Allied Health Professional, Medical benefits, Vision benefits, Dental benefits, 401k retirement plan, Weekly pay, Referral bonus",4
No technical skills frameworks languages softwares concepts or requirements found in the provided context.,4
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance and Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety and Security, Scheduling, Training, Leadership, Restaurant, Retail, Hospitality",4
"CT Technologist, Allied Health Professional, Radiology Technician",4
"Communication, Collaboration, SelfAccountable, Solution Oriented, People Centric, Relevant, Initiative, Deliver, Evolve",4
